IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
043453-28032023,28-Mar-23,2023,23,ISLINGTON,532350,186150,140.0,Stoke Newington,inf,inf,51.558712477503036,-0.09220597478879454,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,1148.9938971745842,0-3min
144295-18092023,18-Sep-23,2023,8,KENSINGTON AND CHELSEA,527850,178950,283.0,Chelsea,inf,inf,51.49504465964899,-0.15969392299799934,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,1269.0151143012747,3-6min
197526-16122023,16-Dec-23,2023,12,EALING,517550,179550,521.0,Chiswick,51.503074202737764,-0.30710244747346915,51.50267054350457,-0.3077946008516397,Chiswick,51.49061,-0.26903,55.99,95980.0,9976.151735711266,2983.738460313847,6-9min
137787-08092023,08-Sep-23,2023,8,CAMDEN,530850,182650,273.0,Euston,51.52801556202555,-0.11579221010568738,51.52760927493582,-0.11513140254007354,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,1043.5815896518243,3-6min
143525-16092023,16-Sep-23,2023,23,MERTON,526050,170950,254.0,Wimbledon,inf,inf,51.423552296280796,-0.1884580354425193,Wimbledon,51.4155428,-0.1975317,37.61,107662.0,11296.133801844093,1092.0030593659587,3-6min
184192-24112023,24-Nov-23,2023,3,SOUTHWARK,532450,176750,217.0,Peckham,51.47407399627177,-0.09438576878735103,51.474216377397724,-0.09429343629663399,Peckham,51.47405032,-0.07799246,28.85,102125.0,5037.216063725273,1136.2530537090245,3-6min
079155-03062023,03-Jun-23,2023,22,HACKNEY,533350,187250,420.0,Tottenham,inf,inf,51.56836210663607,-0.0773724596159575,Tottenham,51.59264,-0.07164,29.59,132065.0,10266.571281623115,2730.2145654008973,6-9min
056510-24042023,24-Apr-23,2023,6,HILLINGDON,508050,190750,353.0,Ruislip,inf,inf,51.60523085124445,-0.4411715094438073,Ruislip,51.588423,-0.43649005,115.7,76198.0,23234.54080625417,1897.9637619279852,3-6min
127526-22082023,22-Aug-23,2023,15,HOUNSLOW,518750,178450,315.0,Ealing,inf,inf,51.49253373478864,-0.29088370955305015,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,2698.6760657395207,3-6min
122000-12082023,12-Aug-23,2023,21,LAMBETH,529950,176850,223.0,Clapham,inf,inf,51.47569425692142,-0.13023244538265255,Clapham,51.4648861,-0.1435183,26.82,63500.0,4838.483661929665,1515.9904681154094,3-6min
071616-22052023,22-May-23,2023,11,LEWISHAM,535450,173650,942.0,Lewisham,inf,inf,51.44564916171685,-0.05231047226467907,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,2965.3208930001474,> 15min
054084-19042023,19-Apr-23,2023,0,KINGSTON UPON THAMES,518350,169350,353.0,Kingston,inf,inf,51.41083064211482,-0.2996838767984754,Kingston,51.4293729,-0.3091976,37.25,55948.0,15278.913526276205,2166.495703535465,3-6min
089680-19062023,19-Jun-23,2023,19,ISLINGTON,531250,183250,272.0,Islington,inf,inf,51.53290844335897,-0.10914519545398722,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,911.2141876517052,3-6min
045525-02042023,02-Apr-23,2023,5,ENFIELD,536250,195550,531.0,Edmonton,51.64232810689187,-0.03250457433247462,51.64225331492809,-0.03233437438612347,Edmonton,51.62735,-0.06927,80.84,109867.0,13967.778520302169,3044.1104984138246,6-9min
060239-30042023,30-Apr-23,2023,21,HAMMERSMITH AND FULHAM,523850,180350,287.0,Kensington,inf,inf,51.50851618950861,-0.21679297198881833,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,1939.7344287599467,3-6min
