IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
043453-28032023,28-Mar-23,2023,23:08:30,23,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N5,0.0,21605118,E09000019,ISLINGTON,Islington,E05013704,HIGHBURY,HIGHBURY,,,532350,186150,,,London,Stoke Newington,140.0,Stoke Newington,,,1.0,1.0,1,60,364,1.0
144295-18092023,18-Sep-23,2023,08:19:06,8,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW1X,0.0,21700060,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009389,BROMPTON & HANS TOWN,BROMPTON & HANS TOWN,,,527850,178950,,,London,Chelsea,283.0,Chelsea,358.0,Kensington,2.0,2.0,2,60,388,1.0
197526-16122023,16-Dec-23,2023,12:37:18,12,False Alarm,AFA,,Non Residential,Single shop ,Within same building,W5 4QA,W5,12081771.0,20601564,E09000009,EALING,Ealing,E05013541,WALPOLE,WALPOLE,517597.0,179596.0,517550,179550,51.50307953,-0.307068441,London,Ealing,521.0,Chiswick,572.0,Heston,2.0,2.0,2,60,388,1.0
137787-08092023,08-Sep-23,2023,08:33:16,8,False Alarm,False alarm - Malicious,,Other Residential,Boarding House/B&B for homeless/asylum seekers ,Within same building,WC1X 9LP,WC1X,5161419.0,20400815,E09000007,CAMDEN,Camden,E05013666,KING'S CROSS,KING'S CROSS,530803.0,182694.0,530850,182650,51.52802392,-0.115758348,London,Euston,273.0,Euston,356.0,Islington,2.0,2.0,2,60,388,1.0
143525-16092023,16-Sep-23,2023,23:20:57,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW19,0.0,22101656,E09000024,MERTON,Merton,E05013826,WANDLE,WANDLE,,,526050,170950,,,London,Wimbledon,254.0,Wimbledon,441.0,Tooting,2.0,2.0,2,60,388,1.0
184192-24112023,24-Nov-23,2023,03:36:47,3,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street close to gazetteer location,SE5 0BX,SE5,10009790876.0,22503150,E09000028,SOUTHWARK,Southwark,E05011096,CAMBERWELL GREEN,CAMBERWELL GREEN,532444.0,176734.0,532450,176750,51.47407982,-0.094346081,London,Peckham,217.0,Peckham,,,1.0,1.0,1,60,388,2.0
079155-03062023,03-Jun-23,2023,22:43:46,22,Special Service,Special Service,Making Safe (not RTC),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N16,0.0,20901554,E09000012,HACKNEY,Hackney,E05009384,STAMFORD HILL WEST,STAMFORD HILL WEST,,,533350,187250,,,London,Stoke Newington,420.0,Tottenham,,,1.0,1.0,1,60,388,1.0
056510-24042023,24-Apr-23,2023,06:12:08,6,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,HA6,0.0,21400472,E09000017,HILLINGDON,Hillingdon,E05013574,NORTHWOOD,NORTHWOOD,,,508050,190750,,,London,Ruislip,353.0,Ruislip,,,1.0,1.0,1,60,388,1.0
127526-22082023,22-Aug-23,2023,15:07:37,15,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,TW8,0.0,21505052,E09000018,HOUNSLOW,Hounslow,E05013607,BRENTFORD EAST,BRENTFORD EAST,,,518750,178450,,,London,Chiswick,315.0,Ealing,,,1.0,1.0,1,60,388,1.0
122000-12082023,12-Aug-23,2023,21:35:23,21,Special Service,Special Service,Advice Only,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW8,0.0,21901460,E09000022,LAMBETH,Lambeth,E05014111,STOCKWELL WEST & LARKHALL,STOCKWELL WEST & LARKHALL,,,529950,176850,,,London,Clapham,223.0,Clapham,,,1.0,1.0,1,60,388,1.0
